polymer nbases
F21Fcsw_495390 3 67
M12Fcsw_124321 3 67
M44Fcsw_261326 3 67
F11Fcsw_124451 3 68
F12Fcsw_417496 3 68
F13Fcsw_211957 3 68
F13Fcsw_230718 3 68
F13Fcsw_259174 3 68
F14Fcsw_118037 3 68
F14Fcsw_154282 3 68
F22Fcsw_90694 3 68
F22Fcsw_509668 3 68
F24Fcsw_145999 3 68
F34Fcsw_198263 3 68
F34Fcsw_271859 3 68
M22Fcsw_211938 3 68
M23Fcsw_227721 3 68
M24Fcsw_230964 3 68
M41Fcsw_131321 3 68
M41Fcsw_210031 3 68
M41Fcsw_234995 3 68
F11Fcsw_103968 3 69
F13Fcsw_194083 3 69
F13Fcsw_272694 3 69
F22Fcsw_99310 3 69
F24Fcsw_125134 3 69
F34Fcsw_273106 3 69
M11Fcsw_450415 3 69
M12Fcsw_117872 3 69
M21Fcsw_250963 3 69
M23Fcsw_37381 3 69
M23Fcsw_271309 3 69
M41Fcsw_331175 3 69
M41Fcsw_372834 3 69
M42Fcsw_238016 3 69
M42Fcsw_240024 3 69
F11Fcsw_78207 3 70
F12Fcsw_64874 3 70
F21Fcsw_452258 3 70
F22Fcsw_67380 3 70
F22Fcsw_124683 3 70
F22Fcsw_509881 3 70
F34Fcsw_41005 3 70
M14Fcsw_138873 3 70
M14Fcsw_256693 3 70
M23Fcsw_261685 3 70
M24Fcsw_216888 3 70
M41Fcsw_250763 3 70
M43Fcsw_123197 3 70
M43Fcsw_142058 3 70
M43Fcsw_149982 3 70
M43Fcsw_261084 3 70
F11Fcsw_56908 3 71
F11Fcsw_499134 3 71
F14Fcsw_170348 3 71
F22Fcsw_25042 3 71
F22Fcsw_455192 3 71
F34Fcsw_230294 3 71
M14Fcsw_211925 3 71
M21Fcsw_208760 3 71
M21Fcsw_213147 3 71
M21Fcsw_247568 3 71
M21Fcsw_257506 3 71
M23Fcsw_155479 3 71
M24Fcsw_120156 3 71
M41Fcsw_308766 3 71
M42Fcsw_257261 3 71
M42Fcsw_373389 3 71
F13Fcsw_146624 3 72
F22Fcsw_38116 3 72
F32Fcsw_242608 3 72
F32Fcsw_323387 3 72
